No,Model,Sku ,Size,Selling price,Payout,Issues?,Location,Owner,Insurance Price,Consign Date,Sell Date,Buy in,Checked in/out from store,Bought in
XT1402,Foam runner stosal,gv6840,42,275,,,J5 store,Xplct,,14-08-23,,,,
,Foam runner stosal,Gv6840,42,275,,,J5 Store,J5 Store,,,,110,,
,Dunk Low Disrupt 2 Pale Ivory,dh4402100,40.5,275,,,J5 Store,J5 Store,,,,,,
,Dunk Disrupt 2 Eastern W,dv3457100,41,275,,,J5 Store,J5 Store,,,,,,
,dunk low triple pink,dh9765600,38,275,,,J5 Store,J5 Store,,,,,,
,dunk low white grey navy aqua mini swoosh,fj4227001,46,275,,,J5 Store,J5 Store,,,,,,
,Jordan 1 High Hand Crafted,dh3097001,43,285,,,J5 store,J5 store,,,,150,,deadstock 6-8-23
,Dunk Low championship,DD1391600,42,285,,,J5 store,J5 store,,,,,treehouse 7-8-23,
,dunk sb high run the jewels,dx4356600,45.5,285,,,J5 store,J5 store,,,,,,
,jordan 1 high true blue,dz5485410,41,285,,,J5 store,J5,,,,140,,
,Dunk low barber shop white ,Dh7614500,38.5,285,,,J5 store,J5 store,,,,,,
,dunk low iron stone,Dunk High Blue Chill,47,285,,,J5 store,J5 store,,,,,,
Gz1104,yeezy foam runner clay ,gv6842,46,285,170,,j5 store,Gosh ,10,,,,,
Gz1106,nike dunk low sandrift ,fd0873126,43,285,190,,j5 store,Gosh ,10,,,,,
Gz1107,nike dunk low sandrift ,fd0873126,44,285,190,,j5 store,Gosh ,10,,,,,
TA1107,Used dunk union argon,dj9649400,44.5,285,190,,j5 store,Tariq,10,11/7/23,,,,
,dunk low teddy bear praline,dz5350288,43,285,,,j5 store,j5 store,,,,,,
,dunk low teddy bear praline,dz5350288,40,285,,,j5store,j5store,,,,,,
,dunk low teddy bear praline,dz5350288,44,285,,,j5store,j5store,,,,,,
,dunk low teddy bear praline,dz5350288,38.5,285,,,j5store,j5store,,,,,,
,nike dunk low sandrift ,fd0873126,44.5,285,,,J5 Store,J5 Store,,,,165,,
,Dunk low Iron stone,FD9746001,38.5,285,,,J5 Store,J5 Store,,,,,,
,Dunk low Iron stone,FD9746001,44,285,,,J5 Store,J5 Store,,,,,,
